Cycle_Index,Discharge_Capacity
0,1.0785609580575686
1,1.0815063421340316
2,1.0827909424024231
3,1.0834713577051849
4,1.0839500886630917
5,1.0842883381782493
6,1.0845166854622807
7,1.0847078507131012
8,1.0848507453616816
9,1.0849716222313477
10,1.0850556237109767
11,1.0850885451469683
12,1.0850945268312702
13,1.0846920990637507
14,1.085082180597441
15,1.0850885294684587
16,1.085116973605357
17,1.0851342410873037
18,1.0850879814866081
19,1.0850968142998927
20,1.085118656984002
21,1.0850957500992744
22,1.08504826139605
23,1.0850218810303423
24,1.0849736722902377
25,1.0849390409565824
26,1.084925709730284
27,1.0849387146254372
28,1.0849318963634174
29,1.0848903995373893
30,1.084427643771221
31,1.0847799626912793
32,1.0847868726426213
33,1.0847614477911054
34,1.0847176049459615
35,1.0847051638488385
36,1.0847427345315959
37,1.0847150376518893
38,1.08466769319292
39,1.0846498454257834
40,1.0846113178834011
41,1.084550825442582
42,1.0845279531996779
43,1.0844529545987895
44,1.0844343545451112
45,1.0844103888111856
46,1.0844130855030178
47,1.0839548265897174
48,1.0843359392960281
49,1.084378639970482
50,1.0844805738071295
51,1.0846927757967029
52,1.0848572153068403
53,1.0849485599805226
54,1.0847899014499198
55,1.084568384127271
56,1.0841009423089645
57,1.0840474634497252
58,1.08397438122864
59,1.0839268694487596
60,1.0838945844831294
61,1.0838260548706555
62,1.0837955909921078
63,1.083756649948663
64,1.083312604402229
65,1.0836827778131157
66,1.0836241398094468
67,1.0835786316866431
68,1.0835158855333316
69,1.0834913936829742
70,1.0834818216816229
71,1.083386465523291
72,1.083353139245824
73,1.0833266589069555
74,1.0832338470465575
75,1.0831999851039047
76,1.0831952996820085
77,1.0831576587727598
78,1.0831413391653066
79,1.0830535012421554
80,1.0830072011079594
81,1.082949832334258
82,1.0829369486603826
83,1.0828714879826455
84,1.0828414748304926
85,1.082749279859842
86,1.0827449224902725
87,1.08269635019369
88,1.0826632271707126
89,1.0825896826580652
90,1.0825478760954084
91,1.0825046088818537
92,1.0824566743205484
93,1.082401116843622
94,1.0823880989305117
95,1.0823567206080558
96,1.0822695432016065
97,1.0822090479894033
98,1.0821413232452441
99,1.082118857726032
100,1.0821230186721607
101,1.0820762334649778
102,1.082057046939201
103,1.0819859104420002
104,1.0815515912535505
105,1.0818708483651516
106,1.081823420742252
107,1.0817955514049276
108,1.081700929807901
109,1.0816651265265724
110,1.081688743174767
111,1.0816505808026877
112,1.0815971808026874
113,1.0815602695595907
114,1.0815156074290637
115,1.0814759583970113
116,1.081373431743796
117,1.0813436726262058
118,1.0812812904051203
119,1.0812346626748635
120,1.0812202691838422
121,1.0807896566385669
122,1.081089485671002
123,1.0810911910760999
124,1.0810194797524852
125,1.0809554731629893
126,1.0808846287308593
127,1.0808381498984592
128,1.0807719024802318
129,1.0807226500058158
130,1.0806710075095811
131,1.0805956320390269
132,1.0805698800745556
133,1.0805225387627189
134,1.080427560413424
135,1.0803894486603827
136,1.0803026468586834
137,1.080252097558239
138,1.0798244047277734
139,1.080206412458413
140,1.0800872688582976
141,1.0800837916397226
142,1.0800503835169188
143,1.0800190784875696
144,1.0798829453253758
145,1.0798661914518484
146,1.0797785391384676
147,1.0797866950552468
148,1.0797312622151232
149,1.0796538652548993
150,1.0796111042014136
151,1.0795488979071484
152,1.079528124318811
153,1.0794675341627964
154,1.0793746799403594
155,1.0789372131994865
156,1.0792366994941345
157,1.0791907489824528
158,1.0791306095259938
159,1.0790636308277894
160,1.0790177716296818
161,1.0789733958638965
162,1.0789904263386982
163,1.0789325654462478
164,1.0788769082108742
165,1.0788363090160495
166,1.0788619138003719
167,1.0789071143639943
168,1.0788333098714287
169,1.0787371135051407
170,1.078630885993072
171,1.0785461851342184
172,1.0780740719179636
173,1.0785067361021659
174,1.078538948391991
175,1.0785607740218428
176,1.0785068766287174
177,1.0783910428725874
178,1.0783001576654045
179,1.0782122086065127
180,1.0781145692037324
181,1.0778832288079025
182,1.0777646171085395
183,1.0777193172964137
184,1.077654621708462
185,1.0775519680764871
186,1.0775114564576416
187,1.0774222840537024
188,1.0773900264425804
189,1.0769501490525468
190,1.0773425676236954
191,1.0772870919921065
192,1.0772215581822977
193,1.077135618185581
194,1.0771443913946954
195,1.077162757880118
196,1.0771773931695554
197,1.0771278440872993
198,1.077013254095794
199,1.0768804661743798
200,1.0767667770148894
201,1.0768995765551488
202,1.0769943877947714
203,1.0770439379272299
204,1.0769312545987895
205,1.07684088205718
206,1.0763684020567972
207,1.0766528459894062
208,1.0765301505893288
209,1.0762251852883045
210,1.0759842678886127
211,1.0759055218426579
212,1.0758194956457088
213,1.0757304480664462
214,1.0756460310693423
215,1.075579117729315
216,1.075527007509581
217,1.0754867328476767
218,1.07548375358585
219,1.0754160971824906
220,1.075299240698614
221,1.075273161648026
